PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P00180,Anna Nagar,1657,15-10-2014,105,1,1,4,Normal Sale,No,19-10-1996,House,ELO,Gravel,RL,3.1,3.4,4.9,3.895,472532,157511,12116210
P01166,Chrompet,1008,18-11-2012,84,1,1,3,Partial,No,26-11-1980,Others,NoSeWa,Gravel,RM,2.6,4.4,4.6,3.92,233124,139874,9324960
P08516,Velachery,1658,01-12-2007,19,2,1,4,Normal Sale,Yes,06-12-1985,Commercial,NoSeWa,Paved,I,3.7,4.1,4,3.97,563446,183120,14086140
P06919,KK Nagar,1381,19-04-2009,127,2,1,4,Partial,No,21-04-2002,Commercial,NoSewr ,Gravel,RM,3.3,3.5,3.3,3.36,625417,119761,13306740
P01728,Karapakkam,929,18-02-2012,14,1,1,3,AbNormal,No,20-02-2003,Commercial,ELO,Paved,I,3.2,4.4,3.5,3.68,361841,169373,7698750
P00281,Chrompet,1166,30-07-2014,31,1,1,3,Normal Sale,No,31-07-2009,Others,NoSeWa,Gravel,RL,2.6,2.4,5,3.24,262422,171584,10093170
P09014,Chrompet,1239,13-05-2007,75,2,1,4,AdjLand,No,20-05-1977,Others,NoSeWa,Gravel,RH,2.1,4.7,4.8,3.95,255297,127649,9819130
P03608,Chrompet,1231,17-02-2011,120,2,1,4,Partial,No,22-02-1989,Others,AllPub,Gravel,RH,5,3.7,3.3,3.97,239824,163080,9592970
P00266,Anna Nagar,1973,16-08-2014,49,2,1,5,Partial,No,26-08-1975,House,ELO,No Access,RM,2.3,3.1,2.8,2.7,475737,73190,12198380
P06606,KK Nagar,2244,16-07-2009,98,4,2,6,AdjLand,No,21-07-1988,Others,NoSewr ,Paved,RL,4.1,3.5,4.2,3.96,593093,160629,12356100
P06636,Karapakkam,1577,09-07-2009,113,2,2,4,Family,Yes,14-07-1991,Others,NoSeWa,No Access,A,3.3,2.1,4.3,3.34,287557,106998,6687375
P05657,T Nagar,1854,17-01-2010,5,2,1,5,Partial,Yes,27-01-1971,Others,NoSeWa,No Access,RH,3.4,3,2.8,3.03,433973,242514,12763900
P06762,Chrompet,1109,02-06-2009,60,1,1,3,AdjLand,No,05-06-1997,Others,ELO,Paved,RM,3.4,2.6,3.9,3.23,302356,171335,10078530
P05501,KK Nagar,1801,13-02-2010,115,3,2,5,AdjLand,No,15-02-2003,House,AllPub,Gravel,RH,5,3.6,3.5,3.98,331070,165535,10345940
P01791,Chrompet,1257,08-02-2012,35,2,1,4,Partial,No,17-02-1974,Commercial,NoSeWa,Gravel,RL,2.2,4.4,2.5,3.17,426985,179058,13773700
P04147,Karapakkam,531,27-10-2010,41,1,1,2,Partial,No,04-11-1976,Others,ELO,No Access,RH,4.2,2.5,3,3.21,154452,41438,3767125
P05149,Karapakkam,1380,19-04-2010,185,2,2,4,AbNormal,No,26-04-1981,House,NoSeWa,Gravel,RM,2.6,2.2,5,3.44,396739,198369,8624750
P08152,KK Nagar,1758,08-04-2008,14,2,1,4,Family,No,12-04-1995,House,NoSewr ,Paved,RH,3.9,4.2,2.7,3.51,292072,185864,8850660
P01345,Anna Nagar,1777,22-07-2012,192,1,1,4,AbNormal,Yes,24-07-2007,House,AllPub,Paved,RM,2.1,3.9,4.8,3.63,569512,113902,14237800
P01998,Anna Nagar,1943,31-12-2011,108,2,1,5,Normal Sale,No,06-01-1986,Others,NoSewr ,Paved,RL,3.4,3.2,2.4,2.95,380125,267495,14078710
P05542,Velachery,1964,06-02-2010,128,3,2,5,Normal Sale,Yes,07-02-2005,Others,NoSeWa,No Access,I,5,3.3,4.4,4.06,417532,139177,10705950
P06518,Anna Nagar,1777,02-08-2009,139,1,1,4,AdjLand,Yes,10-08-1977,Others,ELO,Gravel,RH,2.4,4.8,3.5,3.44,452446,268640,14138950
P03500,Anna Nagar,1751,16-03-2011,99,1,1,4,Family,No,21-03-1990,House,ELO,No Access,RH,4.9,2.3,4.3,4.01,401345,116179,10561720
P08226,KK Nagar,1573,18-03-2008,76,2,1,4,Family,No,23-03-1988,House,NoSewr ,Paved,RM,3.2,3,2.3,2.78,373472,186736,9336800
P03950,KK Nagar,1438,06-12-2010,27,2,1,4,Family,Yes,13-12-1983,Commercial,NoSeWa,Gravel,RL,3.2,3.9,4.7,4.01,495012,261256,13750340
P04839,Adyar,925,21-06-2010,19,1,1,3,Partial,No,30-06-1975,Others,NoSeWa,Paved,RH,3.3,2.4,3.2,3.07,292021,82365,7487725
P00722,Chrompet,1280,12-09-2013,78,2,1,4,Family,No,16-09-1997,Others,AllPub,Paved,RM,2.4,3.6,2.7,2.97,278205,171203,10700200
P08047,Adyar,947,11-05-2008,151,1,1,3,AdjLand,Yes,15-05-1994,House,ELO,No Access,RL,2,4.4,2,2.48,321531,8931,8931410
P00347,T Nagar,1981,17-06-2014,162,2,1,5,AdjLand,No,27-06-1974,Others,AllPub,Paved,RH,3.2,3.1,2.1,2.68,543029,139238,13923830
P04625,KK Nagar,1554,29-07-2010,169,2,1,4,Family,No,02-08-1995,House,NoSewr ,Gravel,RL,4.5,4.2,4.7,4.49,377780,217224,9444500
P03114,Velachery,1762,24-05-2011,196,2,1,4,Normal Sale,Yes,02-06-1972,Others,NoSewr ,Paved,A,4.7,3.9,4.6,4.31,302593,142396,8899780
P09392,Anna Nagar,1835,24-12-2006,52,2,1,5,Normal Sale,No,28-12-1988,House,NoSewr ,No Access,RM,2.2,4.6,3.2,3.2,453793,113448,12605360
P03282,KK Nagar,1351,20-04-2011,41,2,1,4,AdjLand,Yes,26-04-1984,Others,NoSeWa,Gravel,RH,3,4.1,4.4,3.89,475908,128892,9914760
P02219,Chrompet,750,13-11-2011,33,1,1,2,Normal Sale,No,18-11-1988,Others,NoSewr ,Gravel,RL,4,2.3,3.4,3.14,198869,111367,7954750
P04652,Velachery,1598,25-07-2010,7,2,1,4,AbNormal,No,06-08-1961,Commercial,ELO,Gravel,RH,3.1,2.1,4.1,2.95,405712,183225,13087480
P10016,Velachery,1856,27-02-2004,52,3,2,5,Partial,Yes,08-03-1966,Others,NoSewr ,Gravel,A,3.3,3.6,2.5,3.20,348925,188608,9430410
P04574,Velachery,1584,06-08-2010,11,2,1,4,AdjLand,No,18-08-1961,House,NoSewr ,No Access,RL,2.3,2.4,3.7,2.77,261860,90014,8183130
P01911,Adyar,852,16-01-2012,68,1,1,3,Partial,No,22-01-1988,Commercial,ELO,Paved,A,3.9,4.6,2.8,3.49,317515,41778,8355660
P04130,Karapakkam,1650,30-10-2010,14,2,2,4,Family,Yes,10-11-1964,Commercial,NoSeWa,Paved,A,3,5,3.9,3.96,411626,84436,10554500
P01846,Karapakkam,1606,28-01-2012,40,2,2,4,Partial,No,31-01-2000,House,NoSewr ,Gravel,I,2.1,2.4,3.9,2.91,370293,113355,7557000
P07527,Adyar,1152,13-10-2008,80,1,1,3,AbNormal,Yes,23-10-1969,House,AllPub,Paved,RL,3.9,3,3.7,3.62,370321,60052,10008685
P03836,KK Nagar,1763,03-01-2011,79,2,1,4,AbNormal,Yes,08-01-1992,Others,NoSeWa,Gravel,RM,4.2,2.8,2.9,3.26,499472,304556,12182240
P00935,Anna Nagar,1969,20-04-2013,76,2,1,5,Normal Sale,Yes,25-04-1993,Commercial,NoSeWa,Paved,RM,4.6,4.4,2.1,3.55,893744,183332,22916500
P06912,Adyar,994,20-04-2009,185,1,1,3,Partial,Yes,27-04-1982,Others,NoSewr ,No Access,C,4.8,2.3,2.8,3.3,266604,14411,7205505
P00405,T Nagar,1566,10-05-2014,68,1,1,4,Partial,No,16-05-1989,Others,NoSeWa,Paved,RH,3.4,4.9,3.7,3.91,347987,145930,11225380
P00745,Chrompet,914,21-08-2013,52,1,1,3,AdjLand,Yes,23-08-2004,Commercial,ELO,No Access,RL,3.1,2.7,3.8,3.15,384331,132114,12010350
P04846,Anna Nagar,1757,19-06-2010,19,1,1,4,Normal Sale,No,26-06-1982,House,ELO,No Access,RM,4.8,4.5,2,3.605,449901,94716,11839510
P03934,Adyar,1241,09-12-2010,62,2,2,4,AdjLand,No,17-12-1977,Others,NoSewr ,Paved,RL,4.2,3.7,3.3,3.65,422756,95120,10568895
P09903,Velachery,1926,07-11-2004,150,3,2,5,Partial,No,16-11-1968,Commercial,NoSewr ,No Access,RL,3.8,2.8,4.6,3.59,518512,133332,14814620
P09299,Velachery,1531,26-01-2007,67,2,1,4,AbNormal,No,29-01-1995,House,NoSeWa,Paved,A,2.6,4.2,4.9,4.01,202360,134907,6745340
P06579,Adyar,928,21-07-2009,126,1,1,3,AbNormal,No,31-07-1969,Commercial,AllPub,No Access,RH,4.2,3.5,4.3,4.11,360254,158936,10595700
P08140,Velachery,1716,10-04-2008,113,2,1,4,Family,No,22-04-1963,House,NoSewr ,Paved,I,4.4,3.5,2.8,3.52,264437,62220,7777550
P04432,Velachery,1637,01-09-2010,192,2,1,4,AbNormal,Yes,05-09-1995,Others,AllPub,Paved,A,3.6,4.7,4.4,4.34,279459,162266,9014800
P00110,Chrompet,1286,06-12-2014,103,2,1,4,Normal Sale,Yes,10-12-1998,Others,AllPub,No Access,RL,2.3,4.7,3,3.47,320275,96082,10675820
P02720,Karapakkam,1694,11-08-2011,61,2,2,4,AbNormal,No,15-08-1993,Commercial,ELO,Paved,I,3.3,2.1,3.8,3.14,342165,250921,11405500
P02135,Chrompet,770,03-12-2011,25,1,1,2,AbNormal,No,08-12-1990,Commercial,NoSeWa,Gravel,RH,4.4,3.7,3.6,3.88,325933,98768,9876750
P09818,Velachery,1677,13-05-2005,199,2,1,4,AdjLand,Yes,18-05-1984,House,NoSeWa,Gravel,A,4.1,3.7,4.3,3.98,336650,132888,8859220
P08888,Adyar,790,04-07-2007,200,1,1,2,Normal Sale,No,11-07-1978,Commercial,NoSeWa,Gravel,I,2.7,4.3,2.4,2.87,341531,107338,9758035
P03609,Chrompet,1115,17-02-2011,144,1,1,3,Family,Yes,26-02-1975,House,ELO,Paved,RL,2.9,3.1,4.1,3.34,225140,108067,9005600
P06990,KK Nagar,1723,30-03-2009,86,2,1,4,Family,No,05-04-1986,House,AllPub,Paved,RL,2.3,2.5,2,2.24,283987,100769,9160860
P03240,Karapakkam,1013,28-04-2011,164,1,1,3,AdjLand,No,05-05-1983,Commercial,NoSewr ,No Access,RM,4.1,2.6,5,4.01,380440,133154,9511000
P01501,Karapakkam,1143,29-03-2012,29,1,1,3,Partial,No,10-04-1964,Others,NoSeWa,No Access,RL,2.6,2.1,2.4,2.37,273568,65418,5947125
P04510,KK Nagar,1676,17-08-2010,172,2,1,4,Partial,Yes,19-08-2000,Commercial,NoSeWa,Paved,RM,3,3.1,2.9,2.99,503078,121958,15244800
P08054,Adyar,960,09-05-2008,166,1,1,3,Family,Yes,16-05-1982,Others,ELO,Paved,I,3.1,4.4,5,4.31,252843,50569,8428090
P00983,T Nagar,1849,19-03-2013,150,2,1,5,Partial,No,24-03-1992,House,NoSewr ,Gravel,RM,2.7,3.3,3.2,3.075,482165,241082,13393470
P02798,Karapakkam,850,24-07-2011,99,1,1,2,Partial,No,31-07-1981,House,NoSeWa,Gravel,A,4.3,4.2,2.3,3.47,189851,58118,3874500
P01496,Chrompet,935,31-03-2012,192,1,1,3,Partial,Yes,06-04-1990,Commercial,NoSewr ,No Access,RL,4.1,3.1,2.1,3.1,380474,80707,11529500
P06492,Karapakkam,1247,07-08-2009,185,1,1,3,AbNormal,Yes,14-08-1981,Commercial,AllPub,Gravel,I,3,2.4,4.3,3.34,365772,150612,10758000
P02294,Karapakkam,1420,29-10-2011,30,2,2,4,AbNormal,No,30-10-2005,Others,NoSeWa,Gravel,RL,5,3.7,2.2,3.49,399608,217968,9082000
P07391,Chrompet,989,27-11-2008,1,1,1,3,AdjLand,No,29-11-2002,House,AllPub,Gravel,RL,2.9,3.8,4,3.59,232898,111791,9315900
P01190,Chrompet,1227,06-11-2012,143,2,1,4,Normal Sale,Yes,10-11-1996,House,NoSeWa,No Access,RH,3.4,2.2,4.5,3.25,238831,132684,8845600
P08841,Velachery,1626,28-07-2007,102,2,1,4,Normal Sale,No,09-08-1957,House,ELO,Pavd,I,2.2,2.2,3,2.44,239494,79831,7257400
P09423,Chrompet,787,13-12-2006,162,1,1,2,Partial,Yes,20-12-1976,Commercial,NoSeWa,No Access,RM,3.4,4.3,4.4,4.06,311799,182779,10751700
P03270,Velachery,1576,22-04-2011,46,2,1,4,AbNormal,Yes,30-04-1979,House,NoSewr ,No Access,RH,2.8,2,4.2,2.86,316988,171345,8567240
P02737,Karapakkam,594,08-08-2011,195,1,1,2,Family,No,18-08-1969,House,AllPub,No Access,RM,3.9,3.5,4.5,4.02,201723,69011,5308500
P01455,Chormpet,991,25-04-2012,105,1,1,3,AdjLand,No,03-05-1980,House,NoSeWa,Paved,RM,2.2,4.8,4.6,3.96,236655,52590,8765000
P03663,Karapakkam,684,05-02-2011,101,1,1,2,AdjLand,No,13-02-1978,House,NoSeWa,Gravel,A,4.3,3.4,2.3,3.23,184087,50918,3916750
P09663,Velachery,1717,10-04-2006,26,2,1,4,Normal Sale,No,17-04-1979,House,NoSeWa,No Access,I,2.7,2.4,2.1,2.39,221097,58959,7369890
P09262,Adyar,1195,08-02-2007,139,1,1,3,Partial,Yes,09-02-2002,Others,NoSewr ,Gravel,C,2.2,2.2,3.8,3,327780,28922,9640575
P03248,Chrompet,951,26-04-2011,73,1,1,3,Partial,No,28-04-2003,Commercial,NoSeWa,Gravel,RH,2,3.6,2.4,2.76,292230,146115,11239600
P02103,Karapakkam,825,10-12-2011,200,1,1,2,Normal Sale,Yes,17-12-1981,House,ELO,No Access,RM,2.7,3,2.8,2.83,325344,67780,6778000
P07973,KK Nagar,2498,06-06-2008,153,4,2,6,Partial,Yes,12-06-1985,Commercial,NoSeWa,Paved,RL,3,2.3,3.1,2.83,940813,422406,19200260
P01642,Karapakkam,830,04-03-2012,93,1,1,2,Partial,No,09-03-1992,House,AllPub,No Access,I,3,3.8,2.2,2.92,169680,93324,4242000
P01904,Karapakkam,1459,17-01-2012,155,2,2,4,AbNormal,Yes,25-01-1979,Others,NoSewr ,Gravel,RM,3.6,3.6,2.5,3.16,311651,155826,10388375
P06643,Chrompet,820,08-07-2009,16,1,1,3,AdjLand,No,15-07-1983,House,AllPub,Gravel,RL,3,2,4.5,3.05,214622,24764,8254700
P07495,KK Nagar,2434,23-10-2008,28,4,2,6,Partial,Yes,26-10-1996,Others,NoSeWa,Gravel,RM,2.1,4.5,2.1,,459575,272873,14361720
P02240,Karapakkam,1647,08-11-2011,61,2,2,4,Family,Yes,11-11-1997,House,NoSewr ,No Access,RM,3.7,2.2,4.8,3.69,455952,199479,9499000
P05697,Karapakkam,847,09-01-2010,36,1,1,2,Family,Yes,17-01-1980,House,NoSeWa,No Access,RM,2.7,2.5,3.5,2.96,258932,122652,6814000
P00894,Anna Nagar,1863,17-05-2013,132,2,1,5,Partial,Yes,24-05-1985,Others,AllPub,Paved,RM,3.5,2.6,3.4,3.235,467564,90496,15082700
P08312,Adyar,1080,17-02-2008,171,1,1,3,Partial,Yes,18-02-2001,Others,NoSewr ,Paved,RL,4.3,4.6,3.5,3.96,326939,63278,10546405
P06459,Chrompet,1292,13-08-2009,6,2,1,4,Partial,No,15-08-2003,House,ELO,Paved,RM,2.6,2.9,3.3,2.93,263145,155938,9746100
P07897,KK Nagar,1883,01-07-2008,97,3,2,5,Family,Yes,09-07-1978,Others,AllPub,Gravel,RH,4.9,2.7,4.3,4,400675,137374,11447860
P09354,Velachery,1748,07-01-2007,76,2,1,4,Family,No,19-01-1958,Others,ELO,No Access,RM,4.1,3.7,3.8,3.83,342608,66618,9516880
P04244,Karapakkam,1621,07-10-2010,9,2,2,4,Normal Sale,No,16-10-1973,Others,NoSewr ,Paved,I,4.7,3.8,4.5,4.35,234984,151603,7580125
P07784,KK Nagar,2061,04-08-2008,64,3,2,5,Family,Yes,07-08-1999,House,NoSeWa,Paved,RL,4.6,2.3,3.7,3.55,500455,113740,11373980
P08326,Velachery,1521,14-02-2008,78,2,1,4,AdjLand,No,20-02-1982,Commercial,NoSeWa,No Access,RL,2.1,2.9,2.1,2.46,436632,231158,12842120
P03429,Chrompet,839,29-03-2011,71,1,1,3,Family,Yes,03-04-1988,Commercial,AllPub,Gravel,RH,2.8,5,4.6,4.22,291256,186404,11650250
P01162,Chrompet,1296,20-11-2012,170,2,1,4,AbNormal,No,22-11-2007,House,NoSewr ,Gravel,RH,3.5,3.9,4.8,4.05,306450,105342,9576550
P00818,Chrompet,1027,04-07-2013,4,1,1,3,Normal Sale,Yes,08-07-1999,Others,ELO,No Access,RL,4.9,4.9,2.8,4.27,268699,74124,9265490
P01897,KK Nagar,1921,19-01-2012,28,3,2,5,AdjLand,No,23-01-1995,Others,AllPub,Paved,RL,3.7,3.4,3.4,3.49,556393,124905,11354960
P01685,Adyar,855,26-02-2012,117,1,1,3,Normal Sale,Yes,07-03-1975,House,ELO,Gravel,I,3.5,4.4,2.9,3.38,234452,31260,7815055
P09756,Velachery,1857,13-09-2005,170,3,2,5,Partial,Yes,25-09-1959,Others,ELO,No Access,RL,4,2.2,2,2.59,336220,193581,10188470
P08273,Chrompet,920,03-03-2008,67,1,1,3,Normal Sale,Yes,12-03-1972,Others,AllPub,Paved,RL,3.2,4.1,2.9,3.47,257919,46057,9211400
P09879,Velachery,1781,18-12-2004,109,2,1,4,Normal Sale,No,31-12-1954,Commercial,AllPub,No Access,C,4.4,4.1,3.2,3.91,491862,122966,12296550
P04749,Anna Nagar,1658,05-07-2010,110,1,1,4,Partial,No,16-07-1966,House,NoSeWa,No Access,RH,4.3,3.4,3.9,3.915,240378,115382,9615130
P02966,Karapakkam,1611,21-06-2011,28,2,2,4,Normal Sale,Yes,02-07-1967,Commercial,ELO,Paved,RL,3.4,2.7,2.1,2.67,520659,190485,12699000
P02973,KK Nagar,1339,21-06-2011,26,2,1,4,AbNormal,Yes,22-06-2005,Others,NoSeWa,Gravel,RM,3.5,3,3.8,3.47,387965,266033,11084700
P06478,Karapakkam,876,10-08-2009,140,1,1,2,Family,Yes,17-08-1983,Others,NoSeWa,Paved,RH,4.6,3.1,3.5,3.71,338150,169075,6763000
P03448,Velachery,1880,24-03-2011,149,3,2,5,Normal Sale,No,28-03-1992,Commercial,NoSeWa,No Access,RL,4.2,3.8,3.7,3.87,572815,256259,15074080
P05342,Karapakkam,1227,13-03-2010,95,1,1,3,Normal Sale,Yes,20-03-1981,House,NoSeWa,No Access,A,4.1,2.4,2.4,2.91,248463,94416,4969250
P05064,Chrompet,918,06-05-2010,99,1,1,3,Normal Sale,No,13-05-1982,Others,ELO,Paved,RM,4.8,4.3,3.6,4.24,236133,148676,8745660
P00649,Chrompet,750,09-11-2013,78,1,1,2,Partial,Yes,15-11-1989,Commercial,ELO,Paved,RL,2,3.7,4,3.28,323268,114708,10428000
P00226,Anna Nagar,1631,09-09-2014,137,1,1,4,Family,No,20-09-1970,House,NoSeWa,Paved,RH,4.8,3,4.9,4.39,320043,175508,10323980
P04649,Karapakkam,782,25-07-2010,71,1,1,2,Family,No,05-08-1965,House,NoSeWa,Gravel,I,4.7,3.4,4.2,4.11,179182,62956,4842750
P01209,Chrompet,1258,24-10-2012,73,2,1,4,AdjLand,Yes,31-10-1985,Others,NoSewr ,No Access,RM,4.9,2.4,3.4,3.45,278873,122704,11154910
P04518,T Nagar,1536,15-08-2010,5,1,1,4,AdjLand,Yes,17-08-2002,Others,AllPub,No Access,RH,3.8,3.6,3.1,3.435,420911,204078,12754890
P06599,Karapakkam,643,17-07-2009,167,1,1,2,Normal Sale,No,27-07-1969,Commercial,AllPub,NoAccess,RL,2.2,4.2,3.6,3.36,266541,91014,6501000
P06369,Adyar,919,04-09-2009,111,1,1,3,Family,Yes,06-09-2000,Others,AllPub,No Access,RH,3,3.4,4.9,4.03,290490,105633,8802735
P01922,Karapakkam,1180,14-01-2012,81,1,1,3,Partial,No,18-01-1993,Others,NoSeWa,Gravel,RM,2.3,2.2,3.4,2.71,393237,75301,8366750
P02636,Adyar,1167,30-08-2011,15,1,1,3,AdjLand,No,31-08-2004,Others,NoSeWa,No Access,RM,4.7,5,2.9,3.86,366611,41898,10474605
P05798,Velachery,1698,20-12-2009,47,2,1,4,AbNormal,Yes,29-12-1975,Others,AllPub,Paved,RH,4.7,2.8,3.9,3.61,388845,94584,10509330
P09534,Adyar,1051,21-10-2006,38,1,1,3,AdjLand,No,28-10-1978,Others,ELO,Gravel,C,2.6,4,3.4,3.28,291262,121359,8090620
P00794,Chrompet,881,18-07-2013,79,1,1,3,AdjLand,No,19-07-2008,Others,NoSewr ,Gravel,RH,4.4,3.2,4.7,4.01,253313,61144,8734920
P02238,Karapakkam,1042,08-11-2011,82,1,1,3,AdjLand,Yes,17-11-1972,House,ELO,Paved,I,3,3.4,2.7,3,318463,82800,6369250
P09804,Velachery,1954,05-06-2005,24,3,2,5,Family,No,13-06-1973,House,AllPub,Gravel,I,4.7,2.3,4.9,3.68,284533,75876,9484440
P08028,Adyar,919,16-05-2008,147,1,1,3,AdjLand,No,26-05-1968,House,NoSeWa,Gravel,RM,2.6,2.2,4.7,3.57,297930,130344,9310300
P06187,Karapakkam,1287,08-10-2009,19,1,1,3,AdjLand,No,12-10-1992,Commercial,NoSewr ,Paved,C,2.1,4.7,4.4,3.8,324126,120390,9260750
P00412,Anna Nagar,1793,05-05-2014,90,1,1,4,Partial,Yes,07-05-2005,House,NoSewr ,Paved,RL,5,2.8,3.5,3.85,382402,158235,13186280
P08090,KK Nagar,1814,30-04-2008,159,3,2,5,Partial,Yes,05-05-1991,Commercial,AllPub,Paved,RM,2.5,4.3,3.3,3.36,520696,341707,16271740
P09649,Velachery,1889,29-04-2006,117,3,2,5,AbNormal,No,08-05-1970,House,NoSeWa,No Access,C,5,2.9,2.2,3.22,263209,73114,7311370
P01795,Velachery,1642,07-02-2012,80,2,1,4,Partial,No,18-02-1968,Commercial,NoSewr ,No Access,I,2.4,4,2.6,3.18,384571,221420,11653680
P06266,Velachery,1910,25-09-2009,28,3,2,5,AdjLand,No,28-09-1999,Commercial,NoSewr ,Gravel,I,2.1,4.6,3.3,3.59,522441,284968,15831550
P03264,Chrompet,990,24-04-2011,11,1,1,3,Partial,No,26-04-2000,House,NoSeWa,No Access,RL,2.6,3.5,4.2,3.44,197161,124138,7302250
P04297,KK Nagar,1842,28-09-2010,150,3,2,5,AbNormal,Yes,04-10-1985,Others,NoSeWa,Paved,RM,4.1,2.9,2.2,2.98,369047,238095,11904740
P02528,Karapakkam,825,16-09-2011,50,1,1,2,Partial,No,20-09-1994,Commercial,NoSewr ,Gravel,RM,4.9,4.6,3.4,4.21,353619,120975,9305750
P03724,Chrompet,802,24-01-2011,157,1,1,3,Normal Sale,Yes,26-01-2001,House,AllPub,Paved,RL,3.9,2.7,2.2,2.91,277027,121199,8657100
P03399,Karapakkam,858,02-04-2011,160,1,1,2,Normal Sale,No,05-04-1999,Others,AllPub,Gravel,C,2.6,3.8,3.3,3.24,207265,140044,5601750
P06847,KK Nagar,1499,07-05-2009,130,2,1,4,Normal Sale,Yes,13-05-1987,Others,NoSewr ,Paved,RH,3.3,4.3,4.3,4,430726,215363,9789220
P00233,Anna Nagar,1828,05-09-2014,26,2,1,5,Partial,Yes,15-09-1975,Commercial,AllPub,No Access,RM,2.3,2.8,3.2,2.785,782091,267557,20581330
P08554,Chrompet,717,09-11-2007,100,1,1,2,Family,Yes,15-11-1983,House,NoSewr ,Gravel,RH,3.5,4.9,2.8,3.85,239481,84977,7725200
P04935,Karapakkam,504,31-05-2010,133,1,1,2,Family,No,02-06-2002,Others,AllPub,Gravel,RM,4.8,5,2.1,3.78,287779,161437,7019000
P06900,Anna Nagar,1823,24-04-2009,11,2,1,5,Partial,Yes,30-04-1985,House,ELO,Gravel,RL,2.5,5,3.3,3.445,388891,227971,13410030
P03180,KK Nagar,1721,11-05-2011,33,2,1,4,Normal Sale,Yes,18-05-1981,House,AllPub,Paved,RL,3,2.1,2.3,2.45,377378,254985,10199400
P08707,T Nagar,1734,14-09-2007,28,1,1,4,AbNormal,No,25-09-1962,Commercial,NoSewr ,Paved,RL,2.4,3.9,4,3.495,756758,227027,18918950
P04733,Chrompet,787,08-07-2010,147,1,1,2,Partial,Yes,16-07-1979,Commercial,ELO,Gravel,RM,3.9,3.8,2.2,3.35,351104,140441,11703450
P06236,Chrompet,1265,01-10-2009,30,2,1,4,AdjLand,No,07-10-1985,House,ELO,Gravel,RL,2.1,2.8,2.6,2.53,253115,165498,9735200
P09917,Velachery,1967,17-10-2004,142,3,2,5,AbNormal,No,26-10-1971,House,AllPub,Paved,RM,2.8,4.9,2.2,3.57,368112,108268,10826810
P01523,Chrompet,1008,25-03-2012,148,1,1,3,AdjLand,Yes,28-03-2002,Commercial,NoSewr ,Paved,RH,3.3,2.9,4.2,3.41,399730,38684,12894500
P00213,Chrompet,1120,18-09-2014,166,1,1,3,Partial,Yes,27-09-1977,Commercial,ELO,No Access,RM,5,3.5,4.3,4.19,356636,211340,13208750
P09213,Anna Nagar,1952,23-02-2007,53,2,1,5,AdjLand,Yes,05-03-1965,Commercial,AllPub,No Access,RH,3.9,2.6,2.4,,693887,126161,21026890
P03141,Karapakkam,1100,18-05-2011,199,1,1,3,AdjLand,No,29-05-1964,Others,NoSewr ,Gravel,A,3.9,3.7,5,4.28,179479,135969,5438750
P06810,Adyar,1098,16-05-2009,18,1,1,3,Partial,Yes,25-05-1975,House,AllPub,Gravel,RM,2.1,2.6,2.2,2.25,337805,63338,10556410
P05973,KK Nagar,1470,18-11-2009,3,2,1,4,AbNormal,No,22-11-1992,House,NoSewr ,Gravel,RL,4,2.9,2.7,3.15,375697,164940,9163340
P08564,Chrompet,970,06-11-2007,152,1,1,3,Partial,Yes,10-11-1990,House,ELO,No Access,RH,3,4.4,3.3,3.65,216449,67174,7463750
P04186,KK Nagar,1432,21-10-2010,111,2,1,4,AdjLand,Yes,28-10-1983,Others,NoSewr ,Gravel,RM,3.8,2.5,4.6,3.73,344687,183833,11489580
P01692,Karapakkam,790,25-02-2012,119,1,1,2,AdjLand,No,01-03-1994,Commercial,AllPub,Paved,A,4.9,2.6,2,3.05,231895,85435,6102500
P03529,Chrompet,1149,08-03-2011,52,1,1,3,AdjLand,No,09-03-2006,Commercial,AllPub,Paved,RL,2.6,3.3,2.5,2.85,398296,233484,13734350
P05819,Chrompet,762,17-12-2009,154,1,1,2,AbNormal,No,24-12-1983,House,NoSewr ,Paved,RL,2.1,4.8,3.6,3.63,204076,56297,7037100
P01093,Chrompet,847,31-12-2012,6,1,1,3,Family,Yes,09-01-1978,House,AllPub,Paved,RM,4.2,3.8,2.4,3.5,223286,107177,8931450
P07580,Velachery,1954,27-09-2008,131,3,2,5,Normal Sale,Yes,04-10-1981,House,AllPub,Gravel,C,4.9,2.4,4.8,3.75,304545,101515,10151490
P05723,KK Nagar,2232,04-01-2010,172,4,2,6,Normal Sale,Yes,07-01-1999,Others,NoSeWa,Gravel,RM,3.3,2.1,3.6,3.06,591119,225188,14074260
P04389,Anna Nagar,1587,11-09-2010,37,1,1,4,Family,Yes,21-09-1970,Commercial,AllPub,No Access,RH,4.9,4.8,3.8,4.435,683649,105177,17529450
P03062,T Nagar,1891,02-06-2011,100,2,1,5,Family,Yes,05-06-1996,Commercial,AllPub,Paved,RH,3.6,4.6,4.9,4.435,575844,170620,21327550
